227,Verical velocity (geometric) [m/s],50000[Pa] ISBL="Isobaric surface"
228,u-component of wind [m/s],50000[Pa] ISBL="Isobaric surface"
229,v-component of wind [m/s],50000[Pa] ISBL="Isobaric surface"
230,Absolute vorticity [1/s],50000[Pa] ISBL="Isobaric surface"
231,Cloud mixing ratio [kg/kg],50000[Pa] ISBL="Isobaric surface"
232,Ice water mixing ratio [kg/kg],50000[Pa] ISBL="Isobaric surface"
233,Rain mixing ratio [kg/kg],50000[Pa] ISBL="Isobaric surface"
234,Snow mixing ratio [kg/kg],50000[Pa] ISBL="Isobaric surface"
235,Graupel (snow pellets) [kg/kg],50000[Pa] ISBL="Isobaric surface"
236,Icing severity [-],50000[Pa] ISBL="Isobaric surface"
237,Ozone Mixing Ratio [kg/kg],50000[Pa] ISBL="Isobaric surface"
238,Geopotential height [gpm],55000[Pa] ISBL="Isobaric surface"
239,Temperature [C],55000[Pa] ISBL="Isobaric surface"
240,Relative humidity [%],55000[Pa] ISBL="Isobaric surface"
241,Total cloud cover [%],55000[Pa] ISBL="Isobaric surface"
242,Vertical velocity (pressure) [Pa/s],55000[Pa] ISBL="Isobaric surface"
243,Verical velocity (geometric) [m/s],55000[Pa] ISBL="Isobaric surface"
244,u-component of wind [m/s],55000[Pa] ISBL="Isobaric surface"
245,v-component of wind [m/s],55000[Pa] ISBL="Isobaric surface"
246,Absolute vorticity [1/s],55000[Pa] ISBL="Isobaric surface"
247,Cloud mixing ratio [kg/kg],55000[Pa] ISBL="Isobaric surface"
248,Ice water mixing ratio [kg/kg],55000[Pa] ISBL="Isobaric surface"
249,Rain mixing ratio [kg/kg],55000[Pa] ISBL="Isobaric surface"
250,Snow mixing ratio [kg/kg],55000[Pa] ISBL="Isobaric surface"
251,Graupel (snow pellets) [kg/kg],55000[Pa] ISBL="Isobaric surface"
252,Icing severity [-],55000[Pa] ISBL="Isobaric surface"
253,Geopotential height [gpm],60000[Pa] ISBL="Isobaric surface"
254,Temperature [C],60000[Pa] ISBL="Isobaric surface"
255,Relative humidity [%],60000[Pa] ISBL="Isobaric surface"
256,Total cloud cover [%],60000[Pa] ISBL="Isobaric surface"
257,Vertical velocity (pressure) [Pa/s],60000[Pa] ISBL="Isobaric surface"
258,Verical velocity (geometric) [m/s],60000[Pa] ISBL="Isobaric surface"
259,u-component of wind [m/s],60000[Pa] ISBL="Isobaric surface"
260,v-component of wind [m/s],60000[Pa] ISBL="Isobaric surface"
261,Absolute vorticity [1/s],60000[Pa] ISBL="Isobaric surface"
262,Cloud mixing ratio [kg/kg],60000[Pa] ISBL="Isobaric surface"
263,Ice water mixing ratio [kg/kg],60000[Pa] ISBL="Isobaric surface"
264,Rain mixing ratio [kg/kg],60000[Pa] ISBL="Isobaric surface"
265,Snow mixing ratio [kg/kg],60000[Pa] ISBL="Isobaric surface"
266,Graupel (snow pellets) [kg/kg],60000[Pa] ISBL="Isobaric surface"
267,Icing severity [-],60000[Pa] ISBL="Isobaric surface"
268,Geopotential height [gpm],65000[Pa] ISBL="Isobaric surface"
269,Temperature [C],65000[Pa] ISBL="Isobaric surface"
270,Relative humidity [%],65000[Pa] ISBL="Isobaric surface"
271,Total cloud cover [%],65000[Pa] ISBL="Isobaric surface"
272,Vertical velocity (pressure) [Pa/s],65000[Pa] ISBL="Isobaric surface"
273,Verical velocity (geometric) [m/s],65000[Pa] ISBL="Isobaric surface"
274,u-component of wind [m/s],65000[Pa] ISBL="Isobaric surface"
275,v-component of wind [m/s],65000[Pa] ISBL="Isobaric surface"
276,Absolute vorticity [1/s],65000[Pa] ISBL="Isobaric surface"
277,Cloud mixing ratio [kg/kg],65000[Pa] ISBL="Isobaric surface"
278,Ice water mixing ratio [kg/kg],65000[Pa] ISBL="Isobaric surface"
279,Rain mixing ratio [kg/kg],65000[Pa] ISBL="Isobaric surface"
280,Snow mixing ratio [kg/kg],65000[Pa] ISBL="Isobaric surface"
281,Graupel (snow pellets) [kg/kg],65000[Pa] ISBL="Isobaric surface"
282,Icing severity [-],65000[Pa] ISBL="Isobaric surface"
283,Geopotential height [gpm],70000[Pa] ISBL="Isobaric surface"
284,Temperature [C],70000[Pa] ISBL="Isobaric surface"
285,Relative humidity [%],70000[Pa] ISBL="Isobaric surface"
286,Total cloud cover [%],70000[Pa] ISBL="Isobaric surface"
287,Vertical velocity (pressure) [Pa/s],70000[Pa] ISBL="Isobaric surface"
288,Verical velocity (geometric) [m/s],70000[Pa] ISBL="Isobaric surface"
289,u-component of wind [m/s],70000[Pa] ISBL="Isobaric surface"
290,v-component of wind [m/s],70000[Pa] ISBL="Isobaric surface"
291,Absolute vorticity [1/s],70000[Pa] ISBL="Isobaric surface"
292,Cloud mixing ratio [kg/kg],70000[Pa] ISBL="Isobaric surface"
293,Ice water mixing ratio [kg/kg],70000[Pa] ISBL="Isobaric surface"
